,,,,,
Inf,Rec,Club,División,Juega en,Nombre
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
Trn,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Trn,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Granada,Primera División española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Huelva,Primera División Federación B española,ESP,- -
Ret,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
Juv,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Juv,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
Juv,- - -,Amorebieta,Segunda División española,ESP,- -
Ced,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Almería,Primera División española,ESP,- -
Ofer,- - -,Mirandés,Segunda División española,ESP,- -
Int,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Burgos,Segunda División española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Real San Sebastián C,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
Les,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
Juv,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
Seg,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
Ret,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Ofer,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
Ret,- - -,Vigo,Primera División española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Real San Sebastián C,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Burgos,Segunda División española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Opc,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
Opc,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Real San Sebastián,Primera División española,ESP,- -
Ofer,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
Ret,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
Pet,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
Pet,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
Ofer,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Almería,Primera División española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
Les,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
Trn,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Alavés,Primera División española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
Juv,- - -,Granada,Primera División española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
Les,- - -,S. Gijón,Segunda División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
Int,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
Ced,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Seg,- - -,Vigo,Primera División española,ESP,- -
Opc,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
Opc,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
Juv,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
Trn,- - -,Espanyol,Segunda División española,ESP,- -
Seg,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Real San Sebastián,Primera División española,ESP,- -
Seg,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
Ced,- - -,Mallorca,Primera División española,ESP,- -
Seg,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sta. Eulalia,Segunda División Federación Grupo 3 española,ESP,- -
Ofer,- - -,Mirandés,Segunda División española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
Seg,- - -,Elche,Segunda División española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
Juv,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
Juv,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
Ctr,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Eibar,Segunda División española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
Ced,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
