,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
,- - -,- -,30/6/2027,89.500 € p/m,N/D,N/D,Rubén Cornejo,"11M € - 13,5M €",-,-,"31,5M €"
,- - -,- -,30/6/2028,79.500 € p/m,N/D,N/D,Iago Menéndez,"7,8M € - 10M €",-,-,"28,5M €"
Seg,- - -,- -,30/6/2026,22.000 € p/m,N/D,N/D,Dolors Acevedo,"850m € - 8,6M €",-,-,"4,3M €"
,- - -,- -,30/6/2025,94.000 € p/m,N/D,N/D,Rui Leal,"230m € - 2,3M €",-,-,-
Seg,- - -,- -,30/6/2029,201.000 € p/m,N/D,N/D,Tim Gilson,21M € - 34M €,-,-,62M €
Seg,- - -,- -,30/6/2029,61.000 € p/m,N/D,N/D,Luís Gustavo Cavassani,"14,5M € - 23M €",-,-,"16,75M €"
,- - -,- -,30/6/2028,163.000 € p/m,N/D,N/D,Álvaro Trigo,27M € - 33M €,-,-,"35,5M €"
,- - -,- -,30/6/2025,37.000 € p/m,N/D,N/D,Álvaro Trigo,"950m € - 9,4M €",-,-,"11,75M €"
Int,- - -,- -,30/6/2026,26.000 € p/m,N/D,N/D,Álvaro Trigo,"375m € - 3,9M €",-,-,7M €
,- - -,- -,30/6/2025,62.500 € p/m,N/D,N/D,Rubén Cornejo,"9,6M € - 15M €",-,-,15M €
,- - -,- -,30/6/2026,40.000 € p/m,N/D,N/D,Iago Menéndez,34M € - 53M €,-,-,80M €
Seg,- - -,- -,30/6/2028,15.500 € p/m,N/D,N/D,Yannis Thomas,"950m € - 9,4M €",-,-,"11,25M €"
Seg,- - -,- -,8/6/2031,60.500 € p/m,N/D,N/D,Álvaro Trigo,"15,5M € - 25M €",-,-,20M €
,- - -,- -,30/6/2027,51.000 € p/m,N/D,N/D,Jairo Olivera,900m € - 9M €,-,-,"11,5M €"
,- - -,- -,30/6/2025,59.500 € p/m,N/D,N/D,María Mosquera,140m € - 425m €,-,-,"10,5M €"
Int,- - -,- -,30/6/2025,86.000 € p/m,N/D,N/D,Flavien Cazaux,"6,2M € - 7,6M €",-,-,-
,- - -,- -,30/6/2025,126.000 € p/m,N/D,N/D,Will Law,"450m € - 4,5M €",-,-,"17,75M €"
,- - -,- -,30/6/2024,17.250 € p/m,N/D,N/D,Xavi Aguirre,90m € - 900m €,-,-,50M €
Les,- - -,- -,30/6/2026,195.000 € p/m,N/D,N/D,Luís Mendes,"550m € - 5,6M €",-,-,-
Seg,- - -,- -,30/6/2026,251.000 € p/m,N/D,N/D,-,"7,4M € - 12M €",-,-,30M €
,- - -,- -,30/6/2025,24.500 € p/m,N/D,N/D,Ramón Siles,"2,5M € - 5,2M €",-,-,6M €
,- - -,- -,30/6/2028,38.000 € p/m,N/D,N/D,Jonathan Pierron,"19,5M € - 31M €",-,-,37M €
Trn,- - -,- -,30/6/2024,53.500 € p/m,N/D,N/D,Rubén Cornejo,2m €,-,-,1Mil.M €
,- - -,- -,30/6/2025,208.000 € p/m,N/D,N/D,Rudy Coppola,500m € - 5M €,-,-,-
,- - -,- -,30/6/2026,291.000 € p/m,N/D,N/D,Rubén Cornejo,"325m € - 3,2M €",-,-,"22,5M €"
Pet,- - -,- -,30/6/2027,59.000 € p/m,N/D,N/D,Ernesto Cabrera,"19,5M € - 31M €",-,-,"23,5M €"
Int,- - -,- -,30/6/2026,80.000 € p/m,N/D,N/D,Iago Menéndez,"400m € - 4,1M €",-,-,9M €
Seg,- - -,- -,30/6/2024,16.500 € p/m,N/D,N/D,Javi Barbero,"275m € - 2,8M €",-,-,20M €
,- - -,- -,30/6/2028,86.500 € p/m,N/D,N/D,Adriano Volpe,"8,8M € - 14M €",-,-,"23,5M €"
,- - -,- -,30/6/2027,154.000 € p/m,N/D,N/D,Jairo Olivera,17M € - 27M €,-,-,"41,5M €"
,- - -,- -,30/6/2027,38.000 € p/m,N/D,N/D,Quentin Costantini,"850m € - 8,6M €",-,-,"7,75M €"
,- - -,- -,30/6/2027,64.500 € p/m,N/D,N/D,Jairo Olivera,22M € - 28M €,-,-,"22,5M €"
,- - -,- -,30/6/2026,37.000 € p/m,N/D,N/D,Maria Zambrano,"2,1M € - 4,6M €",-,-,"6,75M €"
Seg,- - -,- -,30/6/2028,76.500 € p/m,N/D,N/D,Iago Menéndez,24M € - 29M €,-,-,29M €
Seg,- - -,- -,30/6/2028,105.000 € p/m,N/D,N/D,Álvaro Trigo,"8,6M €",-,-,60M €
Seg,- - -,- -,30/6/2029,94.000 € p/m,N/D,N/D,Jairo Olivera,23M € - 36M €,-,-,50M €
Seg,- - -,- -,30/6/2025,102.000 € p/m,N/D,N/D,Rubén Cornejo,"1,3M € - 3M €",-,-,40M €
Seg,- - -,- -,30/6/2027,102.000 € p/m,N/D,N/D,Álvaro Trigo,"8,2M € - 13M €",-,-,32M €
Int,- - -,- -,30/6/2025,21.000 € p/m,N/D,N/D,Alfredo Ortí,"160m € - 1,6M €",-,-,"4,7M €"
,- - -,- -,30/6/2027,91.000 € p/m,N/D,N/D,Rubén Cornejo,"14,5M € - 17,5M €",-,-,42M €
,- - -,- -,30/6/2026,23.500 € p/m,N/D,N/D,Michel Riehl,"2,5M € - 5,4M €",-,-,6M €
,- - -,- -,30/6/2026,116.000 € p/m,N/D,N/D,Fernando Nadal,"13,5M € - 22M €",-,-,"31,5M €"
,- - -,- -,30/6/2026,81.500 € p/m,N/D,N/D,Antonio Vargas,31M € - 38M €,-,-,59M €
Seg,- - -,- -,30/6/2027,99.500 € p/m,N/D,N/D,Jonathan Pierron,18M € - 22M €,-,-,38M €
,- - -,- -,30/6/2024,30.000 € p/m,N/D,N/D,María Mosquera,7m € - 22m €,-,-,"2,6M €"
,- - -,- -,30/6/2026,105.000 € p/m,N/D,N/D,Rubén Cornejo,"5,6M € - 7,2M €",-,-,"25,5M €"
,- - -,- -,30/6/2027,73.000 € p/m,N/D,N/D,Rubén Cornejo,18M € - 29M €,-,-,"22,5M €"
Trn,- - -,- -,30/6/2024,32.500 € p/m,N/D,N/D,Ismail Salihu,40m €,-,-,"7,75M €"
,- - -,- -,30/6/2027,63.000 € p/m,N/D,N/D,María Mosquera,10M € - 12M €,-,-,"23,5M €"
,- - -,- -,30/6/2025,49.000 € p/m,N/D,N/D,Rubén Cornejo,"650m € - 6,4M €",-,-,"13,25M €"
,- - -,- -,30/6/2026,63.000 € p/m,N/D,N/D,Jairo Olivera,"13,5M € - 22M €",-,-,"22,5M €"
,- - -,- -,30/6/2027,83.000 € p/m,N/D,N/D,Jairo Olivera,23M € - 30M €,-,-,1Mil.M €
Seg,- - -,- -,30/6/2027,38.500 € p/m,N/D,N/D,María Mosquera,12M € - 15M €,-,-,"17,75M €"
Seg,- - -,- -,30/6/2026,65.000 € p/m,N/D,N/D,Jairo Olivera,"5,4M € - 7,2M €",-,-,13M €
,- - -,- -,30/6/2025,31.000 € p/m,N/D,N/D,Christian Viroli,150m € - 475m €,-,-,"4,2M €"
Seg,- - -,- -,30/6/2028,46.500 € p/m,N/D,N/D,Álvaro Trigo,"700m € - 7,2M €",-,-,"15,5M €"
Les,- - -,- -,30/6/2027,45.500 € p/m,N/D,N/D,Fernando Nadal,"18,5M € - 24M €",-,-,24M €
,- - -,- -,30/6/2027,73.500 € p/m,N/D,N/D,María Mosquera,11M € - 17M €,-,-,20M €
Fic,- - -,- -,30/6/2026,278.000 € p/m,N/D,N/D,Jonathan Pierron,13M € - 21M €,-,-,-
,- - -,- -,30/6/2025,69.000 € p/m,N/D,N/D,Will Law,"6,4M € - 10M €",-,-,"18,25M €"
,- - -,- -,30/6/2026,45.500 € p/m,N/D,N/D,Christian Viroli,No a la venta,-,-,"10,75M €"
,- - -,- -,30/6/2027,333.000 € p/m,N/D,N/D,Álvaro Trigo,"17,5M € - 22M €",-,-,"23,5M €"
,- - -,- -,30/6/2025,18.500 € p/m,N/D,N/D,Alina Simakova,"400m € - 4,1M €",-,-,"3,2M €"
Seg,- - -,- -,30/6/2028,73.500 € p/m,N/D,N/D,Ernesto Cabrera,"9M € - 11,5M €",-,-,"11,75M €"
Seg,- - -,- -,30/6/2026,49.000 € p/m,N/D,N/D,Jairo Olivera,15M € - 19M €,-,-,45M €
Seg,- - -,- -,30/6/2026,22.500 € p/m,N/D,N/D,Nikos Antonopoulos,70m €,-,-,500m €
Seg,- - -,- -,30/6/2026,16.000 € p/m,N/D,N/D,-,"130m € - 1,3M €",-,-,"3,5M €"
Seg,- - -,- -,30/6/2028,64.000 € p/m,N/D,N/D,Felipe Andrada,17M €,-,-,40M €
,- - -,- -,30/6/2028,87.500 € p/m,N/D,N/D,Javi Barbero,20M € - 24M €,-,-,30M €
Int,- - -,- -,30/6/2024,18.000 € p/m,N/D,N/D,Jermaine Dawson,14m € - 150m €,-,-,"7,25M €"
,- - -,- -,30/6/2025,65.000 € p/m,N/D,N/D,Quim Guillén,"5,2M € - 10M €",-,-,-
,- - -,- -,30/6/2025,97.500 € p/m,N/D,N/D,Fernando Nadal,"11,5M € - 14,5M €",-,-,32M €
,- - -,- -,30/6/2025,89.500 € p/m,N/D,N/D,María Mosquera,"650m € - 6,4M €",-,-,"3,3M €"
,- - -,- -,30/6/2026,78.000 € p/m,N/D,N/D,Rubén Cornejo,28M € - 36M €,-,-,70M €
Seg,- - -,- -,30/6/2028,115.000 € p/m,N/D,N/D,Jairo Olivera,"14,5M € - 23M €",-,-,36M €
,- - -,- -,30/6/2025,91.500 € p/m,N/D,N/D,Rhys Newell,"180m € - 1,8M €",-,-,22M €
,- - -,- -,30/6/2028,112.000 € p/m,N/D,N/D,Xavi Aguirre,20M € - 32M €,-,-,53M €
,- - -,- -,30/6/2025,21.500 € p/m,N/D,N/D,José Antonio Corbacho,14m € - 150m €,-,-,"2,9M €"
,- - -,- -,30/6/2027,68.500 € p/m,N/D,N/D,Álvaro Trigo,"325m € - 9,4M €",-,-,"19,5M €"
,- - -,- -,30/6/2026,55.000 € p/m,N/D,N/D,Rubén Cornejo,No a la venta,-,-,"15,5M €"
,- - -,- -,30/6/2027,83.500 € p/m,N/D,N/D,Fernando Nadal,"14,5M € - 23M €",-,-,"18,25M €"
,- - -,- -,30/6/2025,16.750 € p/m,N/D,N/D,Dolors Acevedo,14m € - 140m €,-,-,"2,5M €"
,- - -,- -,30/6/2027,54.500 € p/m,N/D,N/D,María Mosquera,23M € - 28M €,-,-,"23,5M €"
,- - -,- -,30/6/2028,79.000 € p/m,N/D,N/D,Luís Mendes,"8,2M € - 13M €",-,-,"47,5M €"
,- - -,- -,30/6/2028,40.000 € p/m,N/D,N/D,Iago Menéndez,26M € - 41M €,-,-,41M €
Seg,- - -,- -,30/6/2026,75.000 € p/m,N/D,N/D,Rubén Cornejo,"6M € - 9,4M €",-,-,"15,75M €"
,- - -,- -,30/6/2027,73.000 € p/m,N/D,N/D,Juan Cano,"2,3M € - 5M €",-,-,30M €
Seg,- - -,- -,30/6/2027,15.250 € p/m,N/D,N/D,Marc Montalbán,"12M € - 14,5M €",-,-,12M €
,- - -,- -,30/6/2025,137.000 € p/m,N/D,N/D,Rubén Cornejo,"425m € - 4,3M €",-,-,"18,5M €"
,- - -,- -,30/6/2025,108.000 € p/m,N/D,N/D,Fernando Nadal,"5,2M € - 10,5M €",-,-,7M €
Seg,- - -,- -,30/6/2025,15.250 € p/m,N/D,N/D,Francisco Tavares,"275m € - 2,8M €",-,-,"2,8M €"
Seg,- - -,- -,30/6/2028,40.500 € p/m,N/D,N/D,Jairo Olivera,7M € - 9M €,-,-,"42,5M €"
Seg,- - -,- -,30/6/2025,64.500 € p/m,N/D,N/D,Fernando Nadal,"4,8M € - 6,2M €",-,-,22M €
,- - -,- -,30/6/2029,15.250 € p/m,N/D,N/D,Florian Ridel,"8,6M € - 11M €",-,-,11M €
Seg,- - -,- -,30/6/2028,45.000 € p/m,N/D,N/D,Jairo Olivera,"15,5M € - 19M €",-,-,37M €
Trn,- - -,- -,30/6/2024,84.500 € p/m,N/D,N/D,Rubén Cornejo,3m €,-,-,20M €
,- - -,- -,30/6/2026,70.500 € p/m,N/D,N/D,María Mosquera,"6M € - 9,6M €",-,-,35M €
,- - -,- -,30/6/2025,78.000 € p/m,N/D,N/D,Fernando Nadal,"12,5M € - 16M €",-,-,40M €
,- - -,- -,30/6/2027,33.000 € p/m,N/D,N/D,Alexandre Costa,"7,2M € - 8,8M €",-,-,"7,5M €"
,- - -,- -,30/6/2026,108.000 € p/m,N/D,N/D,Giuseppe Annunziata,No a la venta,-,-,"18,5M €"
Fic,- - -,- -,30/6/2028,45.000 € p/m,N/D,N/D,Xavi Aguirre,800m € - 8M €,-,-,63M €
,- - -,- -,30/6/2028,85.000 € p/m,N/D,N/D,Álvaro Trigo,41M € - 64M €,-,-,52M €
,- - -,- -,30/6/2025,21.000 € p/m,N/D,N/D,Juan Cano,80m € - 800m €,-,-,5M €
Seg,- - -,- -,30/6/2028,51.000 € p/m,N/D,N/D,Jairo Olivera,"6,2M € - 9,8M €",-,-,"15,75M €"
Les,- - -,- -,30/6/2024,6.750 € p/m,N/D,N/D,Senad Hadžić,0€,-,-,375m €
,- - -,- -,30/6/2026,32.500 € p/m,N/D,N/D,Santiago Berrocal,"7,4M € - 11,5M €",-,-,"8,5M €"
Seg,- - -,- -,30/6/2028,63.000 € p/m,N/D,N/D,José Andrés Domínguez,"9,8M € - 15,5M €",-,-,100M €
,- - -,- -,30/6/2027,37.500 € p/m,N/D,N/D,Ernesto Cabrera,14M € - 18M €,-,-,"18,75M €"
,- - -,- -,30/6/2026,53.500 € p/m,N/D,N/D,María Mosquera,"275m € - 11,5M €",-,-,"16,25M €"
Int,- - -,- -,30/6/2027,107.000 € p/m,N/D,N/D,Iago Menéndez,"650m € - 6,4M €",-,-,-
Seg,- - -,- -,30/6/2028,125.000 € p/m,N/D,N/D,Miguel Lemos,"11,5M € - 18M €",-,-,31M €
,- - -,- -,30/6/2026,33.000 € p/m,N/D,N/D,Ignacio Tinoco,"4,6M € - 6M €",-,-,"7,75M €"
Seg,- - -,- -,30/6/2027,16.500 € p/m,N/D,N/D,Kent Koch,"160m € - 1,6M €",-,-,"6,25M €"
,- - -,- -,30/6/2026,43.000 € p/m,N/D,N/D,María Mosquera,"11,5M € - 18M €",-,-,"17,5M €"
Seg,- - -,- -,30/6/2024,46.000 € p/m,N/D,N/D,Fernando Nadal,8m € - 85m €,-,-,"9,5M €"
,- - -,- -,30/6/2025,110.000 € p/m,N/D,N/D,María Mosquera,"275m € - 2,8M €",-,-,"19,25M €"
,- - -,- -,30/6/2027,130.000 € p/m,N/D,N/D,Jermaine Dawson,"300m € - 3,1M €",-,-,"10,25M €"
,- - -,- -,30/6/2025,38.500 € p/m,N/D,N/D,María Mosquera,35m € - 350m €,-,-,"1,6M €"
,- - -,- -,30/6/2026,29.500 € p/m,N/D,N/D,María Mosquera,20m € - 200m €,-,-,1M €
,- - -,- -,30/6/2027,48.500 € p/m,N/D,N/D,Fernando Nadal,"5,6M € - 7,4M €",-,-,"16,25M €"
,- - -,- -,30/6/2029,55.500 € p/m,N/D,N/D,Álvaro Trigo,36M € - 44M €,-,-,36M €
,- - -,- -,30/6/2027,75.500 € p/m,N/D,N/D,Álvaro Trigo,450m € - 11M €,-,-,-
,- - -,- -,30/6/2027,67.000 € p/m,N/D,N/D,Xavi Aguirre,42M € - 67M €,-,-,80M €
,- - -,- -,30/6/2025,39.500 € p/m,N/D,N/D,Ernesto Cabrera,"130m € - 1,3M €",-,-,50M €
Seg,- - -,- -,30/6/2028,63.000 € p/m,N/D,N/D,Jairo Olivera,"10,5M €",-,-,"23,5M €"
,- - -,- -,30/6/2028,67.500 € p/m,N/D,N/D,Iago Menéndez,"9,2M € - 12M €",-,-,"16,75M €"
Ret,- - -,- -,30/6/2024,36.000 € p/m,N/D,N/D,Fernando Nadal,0 € - 14m €,-,-,"3,9M €"
,- - -,- -,30/6/2027,69.500 € p/m,N/D,N/D,Julián Guillén,"8,2M € - 10M €",-,-,-
Seg,- - -,- -,30/6/2027,52.000 € p/m,N/D,N/D,Fernando Nadal,"8,2M € - 10M €",-,-,35M €
Les,- - -,- -,30/6/2027,39.000 € p/m,N/D,N/D,Felipe Andrada,"4,9M € - 7,8M €",-,-,9M €
Seg,- - -,- -,30/6/2027,16.750 € p/m,N/D,N/D,José Antonio Corbacho,"150m € - 1,5M €",-,-,8M €
,- - -,- -,30/6/2024,42.000 € p/m,N/D,N/D,María Mosquera,16m € - 150m €,-,-,"9,75M €"
,- - -,- -,30/6/2028,227.000 € p/m,N/D,N/D,Axel Giménez,24M € - 38M €,-,-,-
,- - -,- -,30/6/2027,85.500 € p/m,N/D,N/D,Emmanuel Herrera,"2,4M € - 5,2M €",-,-,-
,- - -,- -,30/6/2025,52.000 € p/m,N/D,N/D,Álvaro Trigo,"4,1M € - 6,6M €",-,-,"17,5M €"
,- - -,- -,30/6/2026,55.500 € p/m,N/D,N/D,Julián Guillén,"5,8M € - 7,4M €",-,-,100M €
,- - -,- -,30/6/2025,67.000 € p/m,N/D,N/D,Jeremy Buck,45m € - 450m €,-,-,6M €
,- - -,- -,30/6/2028,72.500 € p/m,N/D,N/D,Iago Menéndez,30M € - 47M €,-,-,"38,5M €"
,- - -,- -,30/6/2025,48.500 € p/m,N/D,N/D,Ernesto Cabrera,"4,9M € - 7,8M €",-,-,12M €
Ret,- - -,- -,30/6/2024,457.000 € p/m,N/D,N/D,-,0€,-,-,150M €
,- - -,- -,30/6/2027,21.500 € p/m,N/D,N/D,Tim Gilson,"5,4M € - 8,4M €",-,-,-
Seg,- - -,- -,30/6/2026,55.500 € p/m,N/D,N/D,Jairo Olivera,"750m € - 7,4M €",-,-,200M €
,- - -,- -,30/6/2027,95.000 € p/m,N/D,N/D,María Mosquera,"5,6M € - 10,5M €",-,-,"19,75M €"
Seg,- - -,- -,30/6/2025,48.500 € p/m,N/D,N/D,Ernesto Cabrera,"750m € - 7,6M €",-,-,"12,25M €"
,- - -,- -,30/6/2026,22.500 € p/m,N/D,N/D,Gabri Villar,"130m € - 1,3M €",-,-,3M €
Seg,- - -,- -,30/6/2028,26.500 € p/m,N/D,N/D,Jairo Olivera,"10,5M € - 13,5M €",-,-,"13,5M €"
,- - -,- -,30/6/2025,51.500 € p/m,N/D,N/D,Rubén Cornejo,"190m € - 1,9M €",-,-,9M €
,- - -,- -,30/6/2026,43.000 € p/m,N/D,N/D,Jairo Olivera,"7,2M € - 9,4M €",-,-,"12,75M €"
,- - -,- -,30/6/2027,42.000 € p/m,N/D,N/D,Álvaro Trigo,"550m € - 5,6M €",-,-,"11,5M €"
,- - -,- -,30/6/2025,35.000 € p/m,N/D,N/D,Jairo Olivera,"400m € - 3,9M €",-,-,25M €
,- - -,- -,30/6/2025,41.500 € p/m,N/D,N/D,Rubén Cornejo,"120m € - 1,2M €",-,-,"3,2M €"
Ret,- - -,- -,30/6/2025,50.500 € p/m,N/D,N/D,Jairo Olivera,6m € - 60m €,-,-,6M €
,- - -,- -,30/6/2026,88.000 € p/m,N/D,N/D,Javi Barbero,"550m € - 5,4M €",-,-,"12,25M €"
,- - -,- -,30/6/2027,54.000 € p/m,N/D,N/D,Fernando Nadal,No a la venta,-,-,"15,5M €"
,- - -,- -,30/6/2025,12.000 € p/m,N/D,N/D,Oliver Beuers,"130m € - 1,3M €",-,-,"1,9M €"
Seg,- - -,- -,30/6/2025,54.000 € p/m,N/D,N/D,María Mosquera,"2,6M €",-,-,50M €
Ret,- - -,- -,30/6/2024,35.500 € p/m,N/D,N/D,Jairo Olivera,0 € - 2m €,-,-,900m €
,- - -,- -,30/6/2025,34.500 € p/m,N/D,N/D,Fernando Nadal,"160m € - 1,6M €",-,-,"1,4M €"
,- - -,- -,30/6/2024,51.000 € p/m,N/D,N/D,Rubén Cornejo,0 € - 40m €,-,-,4M €
,- - -,- -,30/6/2028,43.000 € p/m,N/D,N/D,Jairo Olivera,11M € - 14M €,-,-,50M €
Seg,- - -,- -,30/6/2025,48.500 € p/m,N/D,N/D,María Mosquera,"650m € - 6,4M €",-,-,50M €
Seg,- - -,- -,30/6/2026,34.000 € p/m,N/D,N/D,Álvaro Trigo,"4,6M € - 9,2M €",-,-,"10,75M €"
,- - -,- -,30/6/2025,39.500 € p/m,N/D,N/D,María Mosquera,"150m € - 1,5M €",-,-,8M €
Seg,- - -,- -,30/6/2029,58.500 € p/m,N/D,N/D,Julián Guillén,25M € - 39M €,-,-,29M €
,- - -,- -,30/6/2025,48.000 € p/m,N/D,N/D,Iago Menéndez,"5,2M € - 10M €",-,-,9M €
,- - -,- -,30/6/2025,39.000 € p/m,N/D,N/D,Ernesto Cabrera,500m € - 10M €,-,-,21M €
,- - -,- -,30/6/2027,15.250 € p/m,N/D,N/D,Daniel Jansson,"15,5M € - 25M €",-,-,21M €
,- - -,- -,30/6/2025,35.500 € p/m,N/D,N/D,Robin van Zutphen,"6,2M € - 9,8M €",-,-,-
Ofer,- - -,- -,30/6/2025,52.500 € p/m,N/D,N/D,Ernesto Cabrera,"4,9M € - 9,6M €",-,-,"13,5M €"
,- - -,- -,30/6/2026,11.500 € p/m,N/D,N/D,Santiago Berrocal,"4,7M € - 7,4M €",-,-,"10,25M €"
Seg,- - -,- -,30/6/2027,28.000 € p/m,N/D,N/D,Xavi Aguirre,23M € - 30M €,-,-,30M €
,- - -,- -,30/6/2026,37.500 € p/m,N/D,N/D,Jairo Olivera,5M € - 8M €,-,-,"11,75M €"
Seg,- - -,- -,30/6/2026,15.500 € p/m,N/D,N/D,Francisco Tavares,"350m € - 3,4M €",-,-,"3,4M €"
Seg,- - -,- -,30/6/2024,42.000 € p/m,N/D,N/D,Ignacio Tinoco,18m € - 60m €,-,-,"2,8M €"
,- - -,- -,30/6/2025,208.000 € p/m,N/D,N/D,Fernando Nadal,"2,8M € - 5,8M €",-,-,-
Seg,- - -,- -,30/6/2025,48.500 € p/m,N/D,N/D,Bertuğ Karataş,375m €,-,-,"3,1M €"
,- - -,- -,30/6/2028,99.500 € p/m,N/D,N/D,Javi Barbero,"4,9M € - 7,8M €",-,-,"20,5M €"
Seg,- - -,- -,30/6/2025,36.500 € p/m,N/D,N/D,Jairo Olivera,160m €,-,-,4M €
Int,- - -,- -,30/6/2031,63.000 € p/m,N/D,N/D,Carlos Henrique Silva de Freitas,46M € - 60M €,-,-,500M €
,- - -,- -,30/6/2026,15.250 € p/m,N/D,N/D,José Antonio Corbacho,12m € - 120m €,-,-,"1,1M €"
,- - -,- -,30/6/2026,40.500 € p/m,N/D,N/D,Jairo Olivera,"11,5M € - 14M €",-,-,12M €
,- - -,- -,30/6/2026,21.000 € p/m,N/D,N/D,Rubén Cornejo,"5,8M € - 9,2M €",-,-,"9,25M €"
Seg,- - -,- -,30/6/2027,42.000 € p/m,N/D,N/D,Javi Barbero,"3,9M € - 6,2M €",-,-,"14,75M €"
Int,- - -,- -,30/6/2027,16.750 € p/m,N/D,N/D,Giovanni Quaranta,"275m € - 2,6M €",-,-,"2,5M €"
Seg,- - -,- -,30/6/2026,38.500 € p/m,N/D,N/D,Jairo Olivera,"7,8M € - 12M €",-,-,10M €
,- - -,- -,30/6/2027,46.500 € p/m,N/D,N/D,Fernando Nadal,"8,2M € - 13M €",-,-,"16,75M €"
,- - -,- -,30/6/2027,48.500 € p/m,N/D,N/D,María Mosquera,5M € - 10M €,-,-,60M €
Seg,- - -,- -,30/6/2026,61.000 € p/m,N/D,N/D,Berke Şahin,"3,4M €",-,-,"15,25M €"
,- - -,- -,30/6/2025,36.500 € p/m,N/D,N/D,Jairo Olivera,"500m € - 5,2M €",-,-,30M €
,- - -,- -,30/6/2025,57.500 € p/m,N/D,N/D,Rubén Cornejo,"475m € - 4,7M €",-,-,"9,5M €"
Seg,- - -,- -,30/6/2026,208.000 € p/m,N/D,N/D,Miguel Lemos,"5,4M €",-,-,"10,75M €"
,- - -,- -,30/6/2027,126.000 € p/m,N/D,N/D,Jordan Wright,"5,8M € - 7,6M €",-,-,10M €
Seg,- - -,- -,30/6/2028,36.500 € p/m,N/D,N/D,Javi Barbero,"4M € - 6,4M €",-,-,"16,75M €"
Seg,- - -,- -,30/6/2027,35.000 € p/m,N/D,N/D,María Mosquera,"550m € - 5,2M €",-,-,"8,5M €"
,- - -,- -,30/6/2027,32.000 € p/m,N/D,N/D,Rubén Cornejo,"3,4M € - 7M €",-,-,9M €
,- - -,- -,30/6/2026,51.500 € p/m,N/D,N/D,Jairo Olivera,"750m € - 7,2M €",-,-,"11,25M €"
Seg,- - -,- -,30/6/2027,32.000 € p/m,N/D,N/D,Felipe Andrada,"425m € - 4,3M €",-,-,"8,5M €"
Seg,- - -,- -,30/6/2026,103.000 € p/m,N/D,N/D,Álvaro Trigo,"350m € - 9,4M €",-,-,14M €
,- - -,- -,30/6/2028,99.000 € p/m,N/D,N/D,María Mosquera,"11,5M € - 18M €",-,-,39M €
,- - -,- -,30/6/2025,39.000 € p/m,N/D,N/D,María Mosquera,"500m € - 5,2M €",-,-,"10,75M €"
,- - -,- -,30/6/2025,37.500 € p/m,N/D,N/D,José Antonio Corbacho,"4,5M € - 9M €",-,-,-
,- - -,- -,30/6/2026,20.000 € p/m,N/D,N/D,-,30m € - 100m €,-,-,850m €
,- - -,- -,30/6/2028,13.750 € p/m,N/D,N/D,Tim Gilson,"8,2M € - 10M €",-,-,27M €
,- - -,- -,30/6/2027,59.500 € p/m,N/D,N/D,Rubén Cornejo,"425m € - 4,4M €",-,-,"11,5M €"
Seg,- - -,- -,30/6/2025,15.250 € p/m,N/D,N/D,Javi Barbero,"650m € - 6,6M €",-,-,11M €
Des,- - -,- -,30/6/2026,32.500 € p/m,N/D,N/D,Felipe Andrada,300m € - 3M €,-,-,"8,5M €"
,- - -,- -,30/6/2025,13.500 € p/m,N/D,N/D,Rubén Cornejo,"425m € - 12,5M €",-,-,"10,25M €"
Int,- - -,- -,30/6/2025,19.250 € p/m,N/D,N/D,Ramón Siles,"1M € - 2,3M €",-,-,4M €
,- - -,- -,30/6/2025,41.000 € p/m,N/D,N/D,Rubén Cornejo,"2M € - 4,4M €",-,-,7M €
,- - -,- -,30/6/2027,66.500 € p/m,N/D,N/D,Jairo Olivera,"8,4M € - 13,5M €",-,-,"27,5M €"
Les,- - -,- -,30/6/2026,73.500 € p/m,N/D,N/D,Ernesto Cabrera,"8M € - 10,5M €",-,-,"20,5M €"
,- - -,- -,30/6/2025,15.750 € p/m,N/D,N/D,Jairo Olivera,230m € - 11M €,-,-,"8,5M €"
,- - -,- -,30/6/2026,40.000 € p/m,N/D,N/D,Raul Beltrami Teixeira,"325m € - 3,1M €",-,-,"12,5M €"
,- - -,- -,31/12/2025,13.000 € p/m,N/D,N/D,Thiago Abete,"500m € - 4,9M €",-,-,-
,- - -,- -,30/6/2027,46.500 € p/m,N/D,N/D,Jairo Olivera,7M € - 11M €,-,-,20M €
Seg,- - -,- -,30/6/2026,60.500 € p/m,N/D,N/D,Rubén Cornejo,"2,3M € - 4,9M €",-,-,10M €
,- - -,- -,30/6/2025,55.000 € p/m,N/D,N/D,Jairo Olivera,"550m € - 5,4M €",-,-,"19,5M €"
,- - -,- -,30/6/2025,96.000 € p/m,N/D,N/D,Rubén Cornejo,"650m € - 6,6M €",-,-,"9,25M €"
,- - -,- -,30/6/2026,62.500 € p/m,N/D,N/D,Álvaro Trigo,13M € - 16M €,-,-,"21,5M €"
Seg,- - -,- -,30/6/2026,35.000 € p/m,N/D,N/D,Álvaro Trigo,"5,4M € - 7M €",-,-,"8,25M €"
,- - -,- -,30/6/2026,14.500 € p/m,N/D,N/D,Alhassane Bangoura,"275m € - 2,8M €",-,-,6M €
