,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
- - -,Seg,Umar Sadiq,DL (C),3 (19),591,138,117,3,3,2,"0,94",2,5,41,8,"71,9 km","5,79",12,18,0,0,4,"1,07","18,27",35,15,"1,68",5,2,"4,22","4,22",52,4,14,1,4,1,2,10
- - -,,Aïssa Mandi,DF (DIC),19 (11),1.918,1.377,1.271,124,15,2,"0,43",3,8,104,36,"247,5 km","8,63",28,14,6,0,46,"15,25","5,72",2,0,0,0,0,"0,59","0,59",124,12,83,2,12,2,0,27
- - -,Int,Djibril Sow,"MC, ME (C)",34 (4),2.763,1.562,1.358,102,37,5,"6,49",9,45,332,80,"379,1 km","12,31",31,25,2,0,50,"10,42","15,96",19,6,"0,23",2,0,"2,06","2,06",93,20,36,4,20,4,2,33
- - -,,Jeremías Ledesma,POR,35,3.143,1.013,677,0,0,0,0,0,0,0,0,"207,6 km",0,0,17,0,0,0,"4,21","8,22",0,-,-,0,-,0,0,-,-,-,-,-,-,0,36
- - -,Ofer,Héctor Bellerín,DF/CR (D),7 (15),1.101,648,611,75,10,1,"0,8",2,19,99,21,"151,0 km","13,98",10,22,0,0,24,"10,54","12,26",9,2,"0,08",0,0,"0,9","0,9",46,12,23,0,12,0,1,10
- - -,Seg,Hamari Traoré,DF/CR (D),22 (4),2.098,1.327,1.221,150,21,4,"2,03",4,40,183,59,"292,4 km","13,51",30,21,5,1,45,"9,87","20,2",4,2,"0,09",0,0,"0,29","0,29",93,30,46,6,30,6,2,29
- - -,Seg,Suso,ME/MP (DC),2 (2),144,79,72,4,10,0,"0,76",1,4,19,3,"18,4 km","9,38",3,4,0,0,1,"16,88",10,2,2,"0,62",0,1,"0,09","0,09",10,1,4,0,1,0,0,4
- - -,,Alberto Moreno,DF/CR/ME (I),8 (10),836,454,379,50,14,0,"1,07",2,16,53,25,"112,9 km","14,75",8,8,1,0,23,"9,8","15,72",7,0,"0,11",0,0,"0,87","0,87",30,14,10,0,14,0,0,9
- - -,Fic,Trevoh Chalobah,"DF (DC), MC",21 (2),1.864,1.370,1.291,94,13,2,"2,15",4,3,63,17,"238,1 km","5,79",4,7,0,0,51,"16,17","4,83",4,0,"0,14",0,0,"0,46","0,46",134,2,100,1,2,1,0,37
- - -,,Jesús Navas,DF/CR/ME/MP (D),43,2.880,1.332,1.140,131,45,5,"3,62",9,95,404,105,"415,1 km","16,88",56,38,6,0,91,"10,09","18,12",3,0,"0,03",0,0,"0,17","0,17",108,196,30,28,196,28,4,35
- - -,Seg,Marc Bartra,DF (C),30 (3),2.677,2.038,1.888,157,2,1,"1,41",3,6,82,20,"337,0 km","5,21",19,5,2,0,45,"15,06","3,19",11,3,"0,13",1,0,"0,87","0,87",170,2,103,1,2,1,0,28
- - -,,Djéné Dakonam,"DF (C), MC",37,3.172,2.312,2.058,155,7,3,"1,11",0,5,94,36,"401,2 km","6,13",26,9,5,2,74,"16,29","2,7",8,2,"0,14",1,0,"0,84","0,84",166,9,114,1,9,1,3,47
- - -,,Pathé Ciss,"DF (C), MC, ME (C)",12 (18),1.417,897,802,66,17,1,"1,6",4,9,119,33,"192,8 km","9,97",21,10,0,0,24,"11,62","9,59",8,1,"0,25",0,0,"0,96","0,96",77,13,59,1,13,1,1,14
- - -,Seg,Miguel Gutiérrez,DF/CR (I),34,2.999,1.664,1.502,244,48,0,"4,32",8,55,322,88,"411,8 km","14,28",39,49,6,0,83,"12,96","10,98",12,1,"0,09",0,1,"1,23","1,23",140,74,80,15,74,15,5,44
- - -,Seg,Matías Arezo,DL (C),15 (13),1.653,383,321,8,26,0,"0,95",4,23,130,31,"217,5 km","6,64",28,35,3,0,20,"1,63","19,82",60,29,"0,65",8,1,"7,1","7,1",137,15,38,4,9,4,14,15
- - -,,Álex Remiro,POR,39,3.510,1.281,1.175,0,0,0,0,0,0,0,0,"232,9 km",0,0,17,0,0,0,"3,92","6,05",0,-,-,0,-,0,0,-,-,-,-,-,-,0,52
- - -,Int,Luca De La Torre,"ME (IC), MP (DIC)",7 (27),1.238,496,425,27,14,2,"1,81",5,11,165,45,"183,8 km","14,83",11,15,0,0,17,"9,6","15,99",24,10,"0,29",0,0,"2,4","2,4",50,17,8,3,17,3,3,20
- - -,Int,Stole Dimitrievski,POR,37,3.218,918,716,0,0,0,0,0,0,0,0,"223,0 km",0,9,18,9,0,0,"3,05","7,75",0,-,-,0,-,0,0,-,-,-,-,-,-,0,31
- - -,,Saúl,"MC, ME (DIC)",16 (28),1.918,1.022,910,80,29,3,"5,15",12,30,224,55,"258,5 km","10,84",17,27,2,0,37,"13,19","13,75",32,10,"0,47",0,0,"3,44","3,44",101,16,58,1,16,1,2,30
- - -,Int,Omar Alderete,DF (C),27,2.141,1.423,1.319,87,9,1,"1,61",1,0,58,22,"267,9 km","5,25",18,5,7,0,46,"13,62","2,31",7,5,"0,13",0,0,"0,63","0,63",165,3,114,0,3,0,0,35
- - -,,Ander Barrenetxea,ME/MP (DI),21 (18),1.832,710,605,53,31,6,"3,08",8,65,264,59,"247,2 km","14,64",18,21,1,0,30,"4,96","17,64",65,15,"1,03",4,3,"6,24","6,24",107,41,51,7,41,7,9,27
- - -,,Aritz Elustondo,DF (DC),42,3.581,2.742,2.595,179,12,1,"1,63",4,5,116,45,"459,3 km","6,41",23,11,9,0,83,"16,46","2,46",22,5,"0,15",1,0,"2,37","2,37",224,12,168,0,12,0,2,53
- - -,Opc,Leandro Cabrera,DF (IC),32,2.707,1.869,1.665,103,3,1,"0,98",1,1,96,33,"346,8 km","6,15",34,9,7,2,57,"19,78","2,86",7,2,"0,03",1,0,"0,85","0,85",215,8,156,5,8,5,3,50
- - -,Trn,Étienne Capoue,"MC, ME (C)",3 (4),321,176,158,15,6,1,"0,2",2,1,36,4,"43,9 km","13,46",6,0,0,0,3,"13,18","14,86",2,1,0,0,0,"0,06","0,06",21,6,11,1,6,1,1,7
- - -,,Darko Brašanac,"MC, ME/MP (C)",33,2.786,1.577,1.413,125,36,9,"8,37",15,15,318,84,"394,4 km","11,95",34,19,2,0,50,"14,47","6,75",11,2,"0,16",1,1,"0,81","0,81",122,14,73,6,14,6,1,40
- - -,,Domingos Duarte,DF (C),9 (10),1.209,809,712,52,2,0,"0,58",0,2,38,13,"157,1 km","6,03",10,4,3,0,18,"14,74","2,23",7,1,"0,22",0,0,"0,47","0,47",95,2,69,0,2,0,0,21
- - -,,Oihan Sancet,ME/MP (C),28,2.003,1.028,859,85,43,3,"2,99",3,39,255,78,"292,1 km","13,3",15,18,4,0,35,"11,41","12,54",41,16,"0,49",5,0,"5,78","5,78",88,18,38,5,18,5,4,27
- - -,,Ante Budimir,DL (C),39 (2),3.409,756,641,22,17,2,"1,98",6,31,259,58,"449,9 km","7,52",53,90,0,0,41,"2,43","21,36",134,61,"1,11",15,1,"13,95","13,95",335,12,167,0,12,0,33,37
- - -,Seg,Rui Silva,POR,39 (1),3.346,1.197,953,0,0,0,0,0,0,0,0,"244,9 km",0,0,7,0,0,0,"2,93","7,29",0,-,-,0,-,0,0,-,-,-,-,-,-,0,35
- - -,Seg,Javi Guerra,"MC, ME (DC), MP (C)",30,2.432,1.346,1.220,124,36,6,"4,76",5,35,291,88,"348,2 km","12,62",23,17,2,0,46,"12,43","9,44",27,8,"0,3",1,1,"3,73","3,73",66,19,34,5,19,5,2,39
- - -,,Brian Ocampo,MP (DI),13 (10),1.107,456,380,37,28,2,"4,21",9,40,148,45,"148,5 km","13,01",22,18,1,0,21,"4,39","18,05",15,5,"0,41",1,0,"1,92","1,92",45,114,8,18,38,9,6,20
- - -,Int,Arda Güler,MP (DC),8 (21),1.121,405,349,26,20,6,"4,25",5,18,127,27,"159,2 km","12,28",18,9,0,0,21,"10,6","25,93",19,7,"0,32",3,1,"2,17","2,17",42,5,1,1,5,1,1,18
- - -,,Predrag Rajković,POR,39,3.437,887,587,0,0,0,0,0,0,0,0,"225,7 km",0,0,25,0,0,0,"3,3","7,2",0,-,-,0,-,0,0,-,-,-,-,-,-,0,30
- - -,,Alfonso Espino,DF (IC),23 (7),2.407,1.643,1.458,128,12,2,"0,67",5,23,187,67,"341,6 km","12,6",37,20,7,0,52,"12,49","9,87",4,0,"0,04",0,0,"0,86","0,86",113,42,66,6,42,6,1,30
- - -,,Myrto Uzuni,"ME (I), MP (DIC), DL (C)",35 (4),2.488,925,779,58,25,7,"4,69",11,75,364,98,"352,0 km","16,06",51,32,3,0,52,"2,86","21,13",47,16,"0,61",6,1,"4,75","4,75",119,82,54,8,78,7,14,32
- - -,Int,Samu Omorodion,DL (C),36 (1),2.767,639,549,25,23,0,"2,18",4,35,230,51,"380,6 km","7,03",24,105,1,0,32,"2,21","18,05",107,49,"1,01",15,2,"14,11","12,49",275,14,114,2,14,2,17,29
- - -,,Lucas Boyé,"MP (DIC), DL (C)",34 (1),2.544,774,649,25,19,1,"2,67",3,60,237,48,"342,7 km","9,34",25,83,0,0,36,"2,09","18,93",55,28,"0,6",10,1,"7,37","7,37",158,40,62,6,40,6,17,33
- - -,Int,Jørgen Strand Larsen,DL (C),29 (2),2.226,563,483,19,15,1,"3,16",6,20,172,44,"290,8 km","6,11",35,57,0,0,17,"1,94","23,53",44,24,"0,49",9,0,"4,44","4,44",188,15,75,0,15,0,20,28
- - -,Trn,Bertrand Traoré,"MP (DI), DL (C)",3 (17),515,130,112,2,2,0,"0,23",1,5,38,7,"65,1 km","7,34",7,8,1,0,8,"1,05","18,35",30,17,"1,22",4,0,"3,61","3,61",56,1,9,1,1,1,3,11
- - -,,Unai Núñez,DF (C),33,2.956,2.169,1.995,168,5,2,"1,42",2,7,117,40,"377,4 km","5,78",32,10,5,2,68,"13,88","3,62",16,2,"0,12",1,0,"1,55","1,55",225,2,147,0,2,0,1,34
- - -,,Gabriel Paulista,DF (C),17 (6),1.565,1.235,1.134,71,3,0,"0,95",0,1,56,28,"202,5 km","6,5",17,1,2,2,30,"15,87","3,68",11,2,"0,17",0,0,"0,61","0,61",126,6,79,0,6,0,1,26
- - -,,Samuel Lino,"DF/CR/ME (I), MP (DI)",23 (23),2.385,1.040,906,142,47,2,"2,15",2,61,352,73,"340,3 km","15,96",30,27,4,0,84,"9,85","16,64",11,4,"0,04",0,0,"1,65","1,65",45,81,27,10,81,10,1,46
- - -,,Rafa Marín,DF (C),36,3.179,2.236,2.079,132,5,1,"0,67",1,6,102,26,"421,1 km","6,65",22,11,4,1,73,"15,09","2,21",20,4,"0,11",0,0,"2,6","2,6",247,5,182,1,5,1,1,33
- - -,,Óscar,ME/MP (IC),20 (4),1.441,544,426,48,49,5,"4,34",7,28,1,53,"202,7 km","16,3",31,11,1,0,34,"5,18","12,05",14,4,"0,06",0,0,"1,72","1,72",82,124,32,21,46,5,8,25
- - -,Int,Maximiliano Gómez,DL (C),2 (23),669,173,149,3,3,0,"0,09",1,7,50,5,"83,8 km","7,53",3,20,0,0,8,"0,81","17,76",45,23,"2,29",4,2,"4,38","3,57",78,2,33,0,2,0,6,8
- - -,Seg,Luis Suárez,"MP (I), DL (C)",38,2.835,742,653,14,12,2,"2,51",4,43,231,49,"379,8 km","7,59",57,95,4,0,35,"1,49","20,38",76,34,"0,76",9,1,"10,45","8,83",220,18,89,2,18,2,29,30
- - -,Int,Carl Starfelt,DF (C),3 (8),613,487,456,35,2,1,"0,71",3,1,24,12,"79,7 km","6,02",5,3,0,0,12,"11,45","2,35",2,1,0,1,0,"0,06","0,06",38,0,23,0,0,0,0,5
- - -,,Iván Balliu,DF/CR (D),32 (3),2.836,1.348,1.168,139,32,0,"4,08",12,45,340,90,"411,9 km","17,49",27,34,3,0,63,"9,77","12,92",10,1,"0,06",0,0,"0,76","0,76",107,144,39,21,144,21,1,28
- - -,,Hannibal,ME/MP (C),10 (22),1.502,811,712,50,14,1,"2,25",5,30,186,49,"206,6 km","11,62",23,13,6,0,38,"7,85","18,04",23,8,"0,36",2,0,"2,4","2,4",54,29,15,3,14,3,0,14
- - -,,José Luis Morales,"ME/MP (DI), DL (C)",45 (1),3.691,1.374,1.089,90,60,13,"11,8",22,72,563,142,"483,8 km","15,26",44,49,3,0,81,"4,85","14,83",69,28,"0,49",7,2,"7,7","6,89",222,151,59,32,151,32,16,63
- - -,,Joseph Aidoo,DF (C),2,180,125,114,11,1,0,0,0,0,4,2,"20,6 km","4,5",0,0,0,0,3,"13,5",3,0,-,0,0,0,0,0,13,1,7,0,1,0,0,3
- - -,Seg,Munir,"MP (DI), DL (C)",24 (9),1.786,596,498,43,22,2,"1,92",2,53,233,57,"235,8 km","11,69",20,29,2,0,28,"4,08",19,35,14,"0,5",4,0,"3,51","3,51",98,128,22,24,59,17,8,19
- - -,Int,Renato Tapia,"DF (C), MC, ME (C)",32 (2),2.640,1.595,1.411,134,22,5,"2,03",5,31,295,80,"379,7 km","12,07",40,25,6,2,42,"10,77","8,05",16,3,"0,17",1,0,"1,37","1,37",136,9,74,4,9,4,1,30
- - -,,Jesús Vallejo,DF (DC),33,2.333,1.569,1.450,125,8,0,"2,27",2,3,85,27,"287,3 km","4,94",18,7,3,1,42,"16,2","3,16",7,2,"0,12",0,0,"0,5","0,5",156,2,108,0,2,0,0,27
- - -,,Alfonso Pedraza,DF/CR/ME/MP (I),41 (1),3.635,2.221,1.972,240,34,2,"6,26",6,62,373,106,"500,0 km","14,98",59,52,15,1,101,"11,79","14,73",4,0,"0,05",0,0,"0,06","0,06",179,68,128,9,68,9,3,64
- - -,Ret,Santi Cazorla,"MC, ME (C), MP (DIC)",16 (3),816,332,287,17,24,2,"2,76",6,13,98,16,"114,0 km","11,58",6,7,2,1,17,"10,15","15,77",20,11,"0,33",1,1,"2,65","2,65",33,116,5,22,12,4,1,7
- - -,,Tanguy Nianzou,"DF (C), MC",40 (1),3.612,2.746,2.602,180,16,3,"2,78",3,3,138,50,"459,5 km","5,33",26,13,6,1,72,"15,02","3,01",21,4,"0,12",1,0,"2,23","2,23",269,6,207,2,6,2,1,49
- - -,,Samú,"MC, ME (C)",37,3.258,2.061,1.879,177,40,0,"2,38",4,21,351,103,"464,5 km","13,18",56,25,3,0,46,"12,73","7,79",22,8,"0,17",1,0,"2,96","2,96",135,22,52,5,22,5,5,29
- - -,,Mikel Vesga,"MC, ME (C)",35,2.870,1.760,1.581,134,41,8,"7,48",16,12,300,88,"420,5 km","13,3",42,28,5,1,44,"13,39","8,22",20,7,"0,22",2,1,"2,88","2,88",145,25,77,4,25,4,6,40
- - -,Int,Jakub Jankto,"ME (DIC), MP (DI), DL (C)",1 (4),111,55,46,2,1,0,"0,21",0,1,15,2,"15,7 km","10,54",1,0,1,0,1,"12,16","13,78",3,2,0,1,0,"0,6","0,6",9,2,6,0,0,0,0,5
- - -,Seg,Sergi Darder,"MC, ME (C)",37,2.855,1.595,1.416,144,82,1,"6,53",6,33,342,103,"402,3 km","11,22",41,25,3,0,48,"12,96","9,24",29,11,"0,28",3,0,"2,36","2,36",97,191,52,35,16,0,1,25
- - -,Int,Darwin Machís,"ME/MP (DI), DL (C)",26 (12),2.248,793,677,57,27,2,"2,59",3,73,310,75,"325,9 km","14,81",24,37,0,0,37,"3,32","19,26",59,20,"0,72",5,1,"5,58","5,58",86,71,22,11,71,11,12,31
- - -,Seg,Johnny,"MC, ME/MP (C)",1 (29),637,333,291,22,2,0,"0,39",4,4,79,22,"91,5 km","11,73",4,5,1,0,9,"10,17","11,16",7,2,"0,14",0,0,"0,59","0,59",21,3,9,0,3,0,0,7
- - -,Int,Michail Antonio,"ME/MP (D), DL (C)",2 (5),283,75,66,4,2,0,"0,15",0,1,23,6,"36,3 km","7,95",5,8,0,0,1,"1,27","22,9",9,6,"1,27",2,0,"0,85","0,85",25,3,10,1,3,1,2,4
- - -,,Marcão,DF (C),35,2.693,2.052,1.934,139,8,1,"0,6",3,2,99,36,"342,0 km","5,78",23,7,7,1,56,"17,65","2,71",4,0,"0,03",0,0,"0,19","0,19",148,9,94,1,9,1,0,38
- - -,,Aimar,"ME (C), MP (IC)",38 (1),2.792,1.070,911,79,54,3,"4,59",10,57,324,92,"406,1 km","12,51",13,29,1,0,51,"13,35","15,92",58,22,"0,58",5,1,"5,76","5,76",111,33,33,6,33,6,8,33
- - -,Seg,Aleix García,"MC, ME (C)",32,2.487,1.319,1.162,116,61,3,"6,02",14,29,294,90,"346,5 km","11,65",28,16,4,0,46,"13,1","11,83",28,11,"0,29",2,1,"3,86","3,86",76,195,27,27,28,2,6,39
- - -,,Lamine Yamal,MP (DI),4 (35),1.017,427,356,35,20,2,"1,15",3,47,136,43,"136,6 km","13,45",11,10,1,0,13,"3,1","20,44",43,16,"1,33",5,1,"4,79","4,79",45,36,10,5,36,5,3,18
- - -,,Carles Pérez,"ME (DC), MP (DIC)",25,1.769,754,635,64,40,3,"3,67",6,83,263,71,"249,3 km","13,94",25,27,0,0,48,"5,34","15,31",39,15,"0,71",2,1,"4,94","4,94",67,129,9,13,67,3,7,20
- - -,Seg,Jorge Cuenca,DF (C),34,2.918,1.937,1.800,156,11,1,"1,7",2,5,102,43,"360,8 km","4,69",17,9,5,0,56,"17,09","2,81",16,3,"0,06",0,0,"3,69","3,69",215,5,155,1,5,1,0,53
- - -,,Allan Nyom,"DF (DC), CR/ME (D)",20 (1),1.757,961,837,81,12,1,"2,14",5,21,147,47,"244,6 km","14,45",20,15,6,1,41,"16,65","9,37",11,1,"0,15",0,0,"1,07","1,07",110,39,81,5,39,5,1,25
- - -,,Mika Mármol,DF (IC),40,3.573,2.555,2.352,188,21,3,"1,95",4,12,187,55,"447,8 km","6,02",22,28,2,0,73,"17,78","3,78",15,6,"0,05",2,0,"1,32","1,32",224,13,149,3,13,3,2,40
- - -,,Marko Dmitrović,POR,27 (2),2.373,612,400,0,0,0,0,0,0,0,0,"156,8 km",0,0,13,0,0,0,"3,11","10,96",0,-,-,0,-,0,0,-,-,-,-,-,-,0,29
- - -,Seg,Martin Valjent,"DF (DC), MC",20 (1),1.810,1.348,1.212,90,4,1,"0,38",2,3,47,18,"222,1 km","5,37",17,8,3,0,46,"12,68","4,52",15,2,"0,2",0,0,"1,53","1,53",106,2,78,0,2,0,2,17
- - -,,Álex Berenguer,"CR (I), ME (DI), MP (DIC)",21 (1),1.474,547,472,41,22,0,"2,51",3,43,219,55,"195,2 km","13,8",20,23,0,0,32,"3,85","18,32",28,8,"0,43",2,1,"3,1","3,1",71,112,15,15,48,5,6,24
- - -,Int,Claudio Bravo,POR,10 (4),1.039,280,260,0,0,0,0,0,0,0,0,"65,7 km",0,0,10,0,0,0,"3,03","8,92",0,-,-,0,-,0,0,-,-,-,-,-,-,0,15
- - -,Seg,Tasos Douvikas,DL (C),8 (23),1.201,335,287,7,7,0,"0,81",2,11,101,20,"168,5 km","8,39",15,34,1,0,14,"1,57","20,98",71,34,"1,72",9,3,"10,19","8,57",85,4,23,0,4,0,6,14
- - -,,Pepelu,"MC, ME (C)",35,2.883,1.779,1.616,139,44,4,"4,26",9,20,334,91,"412,9 km","12,02",55,21,5,0,51,"13,33","9,08",29,10,"0,31",3,0,"3,29","2,48",116,42,52,5,17,4,3,39
- - -,,Kirian,ME/MP (C),35,2.794,1.423,1.243,101,39,4,"6,44",10,48,344,86,"374,5 km","10,82",22,25,1,0,60,"10,66","12,08",51,17,"0,42",5,0,"4,28","4,28",67,48,20,4,25,1,3,32
- - -,,Dimitri Foulquier,"DF (DI), CR (D)",9 (3),899,460,393,54,6,0,"0,81",1,15,78,25,"124,1 km","16,12",9,9,2,0,29,"9,31","17,32",4,1,"0,4",0,0,"0,13","0,13",57,29,39,2,29,2,0,13
- - -,,Cenk Özkacar,DF (C),11,990,732,659,49,2,0,"0,94",1,2,36,14,"124,0 km","5,27",13,1,4,0,17,19,"2,36",5,2,0,1,0,"0,46","0,46",76,1,53,0,1,0,1,19
- - -,Seg,David García,DF (C),38,3.450,2.555,2.370,148,10,1,"1,58",2,6,127,42,"451,8 km","6,03",27,14,4,0,75,"15,83","2,45",1,1,0,0,0,"0,01","0,01",266,2,194,0,2,0,0,36
- - -,Int,Cyle Larin,"MP (DI), DL (C)",8 (13),1.054,317,272,17,9,0,"0,82",2,12,101,25,"143,4 km","9,73",25,16,1,0,8,"1,96","18,53",31,7,"1,2",1,1,"2,61","2,61",103,18,42,5,18,5,7,12
- - -,Lib,Mason Greenwood,"ME/MP (D), DL (C)",36,2.668,1.217,1.020,181,48,3,"4,77",4,91,387,103,"408,4 km","16,29",27,36,0,0,66,"3,98","9,88",36,10,"0,34",3,0,"3,12","3,12",126,61,29,10,61,10,0,42
- - -,,Marc Roca,"DF (C), MC, ME (C)",46 (1),4.076,2.501,2.251,224,47,2,"5,23",19,20,409,120,"583,3 km","11,64",47,26,3,0,78,"11,95","9,91",26,7,"0,2",1,0,"2,94","2,94",169,51,90,7,27,5,2,46
- - -,Int,Ianis Hagi,"ME (C), MP (DIC)",25 (6),1.795,747,628,66,69,4,"3,5",7,44,253,59,"239,5 km","13,09",28,17,4,0,32,"5,92","15,79",28,12,"0,35",3,1,"3,14","3,14",90,223,15,33,49,6,2,23
- - -,,David Soria,POR,42,3.734,1.019,864,0,0,0,0,0,0,0,0,"252,1 km",0,1,16,1,0,0,4,"7,42",0,-,-,0,-,0,0,-,-,-,-,-,-,0,56
- - -,,Arsen Zakharyan,"ME (C), MP (DIC)",2 (15),373,140,117,9,5,0,"0,21",0,7,44,10,"46,8 km","10,86",2,4,0,0,6,"3,86","21,47",8,1,"0,97",0,1,"1,24","1,24",28,7,15,0,7,0,0,2
- - -,Ofer,Adnan Januzaj,ME/MP (DI),0 (3),60,32,29,4,3,0,0,0,0,7,3,"6,3 km",-,0,0,0,0,0,-,-,0,-,-,0,0,0,0,3,1,2,0,1,0,0,2
- - -,,Filip Jörgensen,POR,47,3.754,1.348,1.072,0,0,0,0,0,0,0,0,"262,6 km",0,2,14,2,0,0,"2,64","7,96",0,-,-,0,-,0,0,-,-,-,-,-,-,0,65
- - -,Seg,Fran García,DF/CR/ME (I),1 (5),317,180,161,23,4,0,0,1,5,38,11,"44,4 km","15,62",4,2,0,0,9,"9,65","22,43",0,-,0,0,0,0,0,9,5,5,0,5,0,0,9
- - -,,Cristhian Stuani,"MP (D), DL (C)",1 (22),273,69,63,1,0,0,0,0,1,20,3,"28,0 km","6,26",2,6,0,0,1,0,"17,47",14,6,"1,98",0,1,"1,25","1,25",25,1,8,1,1,1,1,1
- - -,,Rubén García,ME/MP (DIC),38 (1),2.886,1.225,1.045,121,108,4,"6,78",12,113,399,121,"388,8 km","13,81",32,39,1,0,63,"5,33","18,18",63,25,"0,69",9,2,"6,49","6,49",93,263,23,41,100,19,11,32
- - -,Ret,Pepe Reina,POR,3 (8),695,208,157,0,0,0,0,0,0,0,0,"44,5 km",0,0,2,0,0,0,"3,76","9,58",0,-,-,0,-,0,0,-,-,-,-,-,-,0,10
- - -,,Álvaro García,"ME/MP (I), DL (C)",41,2.892,798,682,38,26,1,"4,2",5,71,294,82,"389,9 km","9,15",32,75,0,0,41,"2,33","19,33",87,37,"0,81",9,3,"9,21","9,21",180,52,45,10,52,10,21,31
- - -,Seg,Rafa Mir,DL (C),3 (23),623,147,122,5,5,0,"0,1",0,9,47,9,"74,9 km","5,92",3,18,0,0,6,"0,87","18,92",23,12,"0,72",6,0,"2,91","2,91",74,2,33,1,2,1,0,9
- - -,,Mihailo Ristić,"DF/CR (I), ME (IC)",14 (2),1.353,704,622,94,19,0,"1,31",4,43,124,34,"201,7 km","15,76",19,20,5,0,35,"10,58","14,97",4,1,"0,07",1,0,"0,05","0,05",61,63,33,8,25,1,0,15
- - -,,Gastón Álvarez,DF (IC),22 (4),1.910,1.113,996,89,5,0,"0,53",1,9,95,28,"246,3 km","7,77",21,9,4,1,44,"15,6","3,82",4,1,"0,05",0,0,"0,55","0,55",166,13,113,2,13,2,0,28
- - -,Trn,Radamel Falcao,DL (C),1 (22),470,115,104,3,10,1,"0,63",1,2,32,6,"55,2 km","6,32",2,11,0,0,5,"0,77","26,62",28,13,"1,53",2,0,"3,92","3,92",49,2,21,0,2,0,2,7
- - -,,Javi Galán,DF/CR (I),9 (2),835,528,445,67,9,2,"1,55",3,25,89,18,"118,6 km","15,84",16,10,2,0,22,"14,23","12,07",5,2,"0,11",1,0,"0,68","0,68",36,28,15,7,17,7,0,11
- - -,,Saúl Coco,"DF (C), MC",31,2.749,2.050,1.929,127,19,2,"1,95",3,8,105,28,"354,4 km","5,63",19,5,4,0,68,"13,49","3,93",21,9,"0,1",2,0,"3,08","3,08",161,2,101,0,2,0,2,29
- - -,,Gonçalo Guedes,"ME (DI), MP (DIC), DL (C)",13 (21),1.322,562,447,53,13,1,"2,28",5,52,163,52,"191,3 km","15,05",25,14,1,0,25,"3,4","15,93",15,4,"0,34",2,2,"1,16","1,16",67,49,28,15,49,15,3,20
- - -,,Selim Amallah,"MC, ME (DC), MP (DIC)",6 (18),797,428,371,28,7,3,"3,77",7,9,96,20,"118,6 km","12,65",6,5,0,0,12,"10,39","8,92",9,3,0,0,0,"1,63","1,63",20,8,10,1,8,1,1,18
- - -,Seg,Giovanni González,"DF (DIC), CR/ME (D)",6 (17),762,466,408,56,5,0,"0,25",1,11,84,21,"102,1 km","14,29",9,13,1,0,22,"8,5","14,41",4,1,0,0,0,"0,48","0,48",21,12,12,2,12,2,0,10
- - -,,Gonzalo Villar,"MC, ME (C)",30 (1),2.209,992,860,85,22,1,"1,98",1,34,266,74,"299,4 km","10,72",24,19,6,0,46,"8,35","13,08",17,8,"0,2",4,1,"2,63","2,63",91,22,53,5,22,5,2,24
- - -,,Sheraldo Becker,"ME (D), MP (DI), DL (C)",6 (22),761,297,257,23,7,0,"1,02",0,45,106,26,"105,2 km","13,84",7,11,0,0,15,"2,25","21,29",21,5,"0,59",2,0,"2,02","2,02",34,16,7,2,16,2,4,7
- - -,Seg,Pablo Fornals,"ME (C), MP (IC)",5 (14),702,331,298,20,8,0,"0,68",1,9,91,31,"105,0 km","13,72",9,11,1,0,14,"7,31","18,33",10,4,"1,15",1,1,"0,68","0,68",28,14,8,2,14,2,2,9
- - -,,Florian Lejeune,DF (C),39,3.509,2.676,2.483,156,10,1,"1,59",6,5,136,46,"434,0 km","4,9",30,14,10,0,69,14,"2,87",12,3,"0,13",2,0,"1,3","1,3",256,9,173,3,9,3,2,35
- - -,Seg,Aitor Ruibal,DF/CR/ME/MP (D),38 (8),3.203,1.726,1.453,122,28,2,"3,73",3,95,416,116,"451,9 km","15,48",56,44,1,0,78,"5,99","21,02",68,19,"0,51",7,2,"8,63","8,63",160,76,65,11,76,11,16,39
- - -,,Julián Araujo,DF/CR/ME (D),27,2.307,1.360,1.195,142,19,1,"2,34",2,29,215,50,"320,9 km","13,93",29,36,5,1,62,"10,34","12,68",11,2,"0,12",0,0,"1,57","1,57",89,28,46,3,28,3,0,30
- - -,Trn,Oriol Romeu,"MC, ME (C)",12 (31),1.594,1.020,931,89,11,2,"1,69",4,10,179,48,"220,1 km","12,37",19,6,1,0,27,"12,25","7,51",4,1,"0,06",1,1,"0,22","0,22",76,3,57,0,3,0,0,26
- - -,,Edgar Badía,POR,35,3.210,1.028,917,0,0,0,0,0,0,0,0,"211,8 km",0,0,21,0,0,0,"4,35","6,9",0,-,-,0,-,0,0,-,-,-,-,-,-,0,43
